periode,prediksi,batas_bawah,batas_atas
2026-07,1391,771,2012
2026-08,1054,433,1674
2026-09,797,177,1418
2026-10,639,18,1259
2026-11,332,-289,952
2026-12,186,-434,807
2027-01,162,-523,847
2027-02,334,-365,1033
2027-03,446,-257,1149
2027-04,455,-249,1159
2027-05,456,-248,1161
2027-06,572,-132,1277
